Job Class,Percentage,Link
Management,6.1,https://www.forbes.com/sites/victorlipman/2016/07/06/how-can-i-get-into-management/#31a51f265ec9
Business and Financial operations,5,https://www.entrepreneur.com/article/297899
Computer and Mathematical,2.7,https://teachyourselfcs.com/
Architecture and Engineering,1.7,https://learn.org/articles/Architectural_Engineering_How_to_Become_an_Architectural_Engineer_in_5_Steps.html
"Life, Physical and Social Science",0.9,https://www.bls.gov/ooh/life-physical-and-social-science/home.htm?view_full
Community and Social Service,1.6,https://www.socialworkguide.org/
Legal,0.8,https://www.learnhowtobecome.org/lawyer/
"Education, training and library",6.1,https://www.alleducationschools.com/teaching-careers/
"Arts, design, entertainment, sports and media",1.7,https://www.artistsnetwork.com/art-inspiration/getting-started-artist-inspiration/
Healthcare practioners and technical,5.5,https://www.straighterline.com/online-education-resources/careers-by-degree-16/how-to-get-started-in-healthcare/
Healthcare support,2.8,https://www.allaboutcareers.com/careers/career-path/healthcare-clinical-support-staff-healthcare-assistant
Protective service,2.3,https://study.com/articles/How_to_Become_a_Child_Protective_Services_Worker.html
Food preparation and serving,8.3,https://study.com/articles/Become_a_Food_Preparation_Worker_Career_Guide.html
Building and grounds cleaning and maintenance,3.7,https://www.wikihow.com/Start-a-Janitorial-Service
Personal care and service,4,https://bizfluent.com/how-6915003-do-personal-care-assistant-business-.html
Sales,10.2,https://www.entrepreneur.com/article/278353
Office and administrative support,15.1,https://www.wikihow.com/Become-an-Administrative-Assistant
"Farming, fishing and forestry",0.6,http://www.tilapia-farming.com/2012/12/20/getting-started-with-small-scale-tilapia-farming/
Construction and extraction,4.3,http://www.tilapia-farming.com/2012/12/20/getting-started-with-small-scale-tilapia-farming/
"Installation, maintenance and repair",3.8,https://www.handymanstartup.com/how-to-home-repair-business/
Production,6.1,https://makersrow.com/blog/2015/10/manufacturing-101-how-to-get-started/
Transportation and material moving,6.5,https://www.upcounsel.com/how-to-start-a-transportation-business
Total,99.8
